Entity,Code,Year,Learning-adjusted years of schooling,Population (historical),World regions according to WB
Liberia,LBR,2023,2.2065024,5492981,Sub-Saharan Africa (WB)
Lithuania,LTU,2023,10.975232,2854061,Europe and Central Asia (WB)
Luxembourg,LUX,2023,9.795577,665058,Europe and Central Asia (WB)
Macao,MAC,2023,11.573814,713868,East Asia and Pacific (WB)
Madagascar,MDG,2023,4.713441,31195885,Sub-Saharan Africa (WB)
Malawi,MWI,2023,5.5056524,21104426,Sub-Saharan Africa (WB)
Malaysia,MYS,2023,8.889285,35126249,East Asia and Pacific (WB)
Mali,MLI,2023,2.5783932,23769081,Sub-Saharan Africa (WB)
Malta,MLT,2023,10.193024,532921,Middle East and North Africa (WB)
Marshall Islands,MHL,2023,5.659488,38803,East Asia and Pacific (WB)
Mauritania,MRT,2023,4.2314367,5022397,Sub-Saharan Africa (WB)
Mauritius,MUS,2023,9.405725,1273543,Sub-Saharan Africa (WB)
Mexico,MEX,2023,8.824254,129739713,Latin America and Caribbean (WB)
Micronesia (country),FSM,2023,7.186352,112602,East Asia and Pacific (WB)
Moldova,MDA,2023,8.288821,3067017,Europe and Central Asia (WB)
Mongolia,MNG,2023,9.153257,3431887,East Asia and Pacific (WB)
Montenegro,MNE,2023,8.9080925,633503,Europe and Central Asia (WB)
Morocco,MAR,2023,6.3176813,37712463,Middle East and North Africa (WB)
Mozambique,MOZ,2023,4.471788,33635119,Sub-Saharan Africa (WB)
Myanmar,MMR,2023,6.787967,54133741,East Asia and Pacific (WB)
Namibia,NAM,2023,6.106065,2963048,Sub-Saharan Africa (WB)
Nauru,NRU,2023,6.5116167,11850,East Asia and Pacific (WB)
Nepal,NPL,2023,7.226661,29694568,South Asia (WB)
Netherlands,NLD,2023,11.539022,18092473,Europe and Central Asia (WB)
New Zealand,NZL,2023,11.390235,5172791,East Asia and Pacific (WB)
Nicaragua,NIC,2023,6.747723,6823569,Latin America and Caribbean (WB)
Niger,NER,2023,2.682462,26159817,Sub-Saharan Africa (WB)
Nigeria,NGA,2023,5.0383425,227882899,Sub-Saharan Africa (WB)
North Macedonia,MKD,2023,7.296405,1831749,Europe and Central Asia (WB)
Norway,NOR,2023,11.233873,5519123,Europe and Central Asia (WB)
Oman,OMN,2023,8.644991,5049214,Middle East and North Africa (WB)
Pakistan,PAK,2023,5.079235,247504458,South Asia (WB)
Palau,PLW,2023,8.692236,17707,East Asia and Pacific (WB)
